Ann Arbor, Michigan, United States
Nottingham, England, GB
Dallas, Texas, United States
Sea Cliff, NY, US
San Antonio, Texas, United States
Ann Arbor, Michigan, United States
Attica, Ohio, United States
Urbana, Illinois, United States
Ann Arbor, Michigan, United States
New York, New York, United States
Ann Arbor, Michigan, United States
Washington, District of Columbia, United States
Aldie, VA, US
Ann Arbor, Michigan, United States
DeKalb, Illinois, United States
Stony Brook, New York, United States
East Lansing, Michigan, United States
Pittsburgh, PA, US
Pittsburgh, Pennsylvania, United States
Cincinnati, Ohio, United States
Pittsburgh, Pennsylvania, United States
Los Angeles, California, United States
Kent, Ohio, United States
Buffalo, New York, United States
Buffalo, New York, United States
Ann Arbor, Michigan, United States
Ann Arbor, Michigan, United States
West Lafayette, Indiana, United States
Dayton, Ohio, United States
West Lafayette, IN, US
Champaign, Illinois, United States
Houghton, Michigan, United States
Pittsburgh, Pennsylvania, United States
Ann Arbor, Michigan, United States
Pittsburgh, Pennsylvania, United States
Waterloo, Ontario, Canada
San Jose, California, United States
College Park, Maryland, United States
Ann Arbor, Michigan, United States
Ann Arbor, Michigan, United States
Grand Rapids, Michigan, United States
Irvine, California, United States
Waterloo, Ontario, Canada
Ann Arbor, Michigan, United States
New Brunswick, New Jersey, United States
Ann Arbor, Michigan, United States
Ann Arbor, Michigan, United States
Ann Arbor, Michigan, United States
Ann Arbor, Michigan, United States
Illinois, United States
Evanston, Illinois, United States
Jersey City, New Jersey, United States
Waterloo, Ontario, Canada
Houghton, Michigan, United States
London, Ontario, Canada
Toronto, Ontario, Canada
Chicago, Illinois, United States
Shippensburg, Pennsylvania, United States
Blacksburg, Virginia, United States
Madison, Wisconsin, United States
Atlanta, Georgia, United States
Toronto, Ontario, Canada
Chapel Hill, NC, US
Cleveland, Ohio, United States
Grinnell, Iowa, United States
Ann Arbor, Michigan, United States
New York, New York, United States
Laurel, Maryland, United States
Naperville, Illinois, United States
Ann Arbor, Michigan, United States
Ann Arbor, Michigan, United States
Atlanta, Georgia, United States
New York, New York, United States
Guelph, Ontario, Canada
East Lansing, Michigan, United States
South Brunswick Township, NJ, US
Ann Arbor, Michigan, United States
Atlanta, Georgia, United States
Waterloo, Ontario, Canada
Ann Arbor, Michigan, United States
Sellersville, PA, US
Kent, Ohio, United States
Portland, Oregon, United States
Philadelphia, Pennsylvania, United States
College Park, Maryland, United States
College Park, Maryland, United States
Troy, Michigan, United States
Waterloo, Ontario, Canada
New Haven, Connecticut, United States
Pittsburgh, Pennsylvania, United States
Ann Arbor, Michigan, United States
Cambridge, Massachusetts, United States
Ann Arbor, Michigan, United States
Santa Cruz, California, United States
Philadelphia, Pennsylvania, United States
Champaign, Illinois, United States
Ann Arbor, Michigan, United States
West Lafayette, Indiana, United States
Niagara Falls, New York, United States
Rochester Hills, Michigan, United States
Ann Arbor, Michigan, United States
Pittsburgh, Pennsylvania, United States
San Jose, California, United States
Reston, Virginia, United States
Atlanta, Georgia, United States
Ann Arbor, Michigan, United States
Toronto, Ontario, Canada
Gainesville, Florida, United States
Waterloo, Ontario, Canada
Freehold Township, New Jersey, United States
Boston, Massachusetts, United States
Manchester, England, United Kingdom
Waterloo, ON, CA
